"1","GOP Convention Light on Stars (AP)","AP - The Republicans will have one sure Hollywood star for their convention  #151; California Gov. Arnold Schwarzenegger  #151; along with performers to keep the country music fans happy. But they'll be hard-pressed to match the Democratic convention's appeal to young voters led by Ben Affleck."
"3","Stocks End Higher as Oil Eases"," NEW YORK (Reuters) - U.S. stocks finished higher on Friday,  as investor worry about high fuel costs crimping consumer  spending and hurting company profits eased after crude oil  prices fell from their peak."
"2","Swimming: Fifth Gold, Seventh Medal for Phelps"," ATHENS (Reuters) - Michael Phelps won his fifth gold medal  at the Athens Olympics Friday to claim a place alongside Mark  Spitz as one of the greatest swimmers in Olympic history."
"1","Bush Spending Spree Continues, More Cash to Burn (Reuters)","Reuters - President Bush's campaign spent\ #36;45.8 million in July, the bulk of it on advertising, but he\still had about  #36;32.5 million left to spend before he accepts\his party's nomination next month, according to a filing\released on Friday."
"2","Swimming: Shibata Joins Japanese Gold Rush"," ATHENS (Reuters) - Ai Shibata wore down French teen-ager  Laure Manaudou to win the women's 800 meters freestyle gold  medal at the Athens Olympics Friday and provide Japan with  their first female swimming champion in 12 years."
"1","Congo Former Foes Head to S.Africa for Talks"," KINSHASA, Democratic Republic of the Congo (Reuters) -  Former rebels and loyalists now in Congo's transitional  government headed to South Africa on Friday for talks on  reviving the country's shaky peace process and improving  regional security, officials said."
"1","Blast at Police Post in Nassiriya, Three Dead"," NASSIRIYA, Iraq (Reuters) - A blast ripped through a police  station in the town of Nassiriya in southern Iraq on Friday,  killing three police and wounding others, police said."
"1","UN warns of Sudan refugee exodus","Some 30,000 Sudanese refugees might cross into Chad to escape persecution by Arab militia, the UN warns."
"2","Miami Struggles on Offense","The Redskins on Saturday will face a Dolphins team facing a number of issues on offense."
"1","Phelps to Forgo Final Race of Olympics","ATHENS, Greece - Michael Phelps is done for the Olympics. Shortly after winning his fifth gold medal and seventh overall, Phelps told U.S..."
"1","IRS: Rose Owes Nearly \$1M in Unpaid Taxes","MIAMI - Pete Rose is back in trouble with the Internal Revenue Service, which says the baseball great owes nearly \$1 million in unpaid taxes.    The IRS filed a federal tax lien in Broward County on Tuesday alleging that baseball's all-time hits king owes \$973,693.28 in back taxes from 1997 to 2002..."
